N Bubble Selection Insertion Merge Quick QuickMod StdSort
4 1.0714e-07 1.4353e-07 1.1927e-07 1.33827e-06 1.5566e-07 1.1321e-07 4.1138e-07
8 7.9043e-07 1.23011e-06 8.2075e-07 5.52994e-06 7.6617e-07 4.872e-07 1.23012e-06
16 3.01311e-06 2.10342e-06 1.126e-06 5.28634e-06 9.9055e-07 7.0552e-07 1.28469e-06
32 7.48983e-06 5.86854e-06 2.96055e-06 1.13611e-05 2.88576e-06 1.93361e-06 3.53467e-06
64 2.7775e-05 2.08735e-05 1.03422e-05 2.61639e-05 5.51781e-06 4.73243e-06 7.77789e-06
128 0.00010065 6.12265e-05 2.9183e-05 4.55555e-05 1.21283e-05 1.03746e-05 1.62734e-05
256 0.000365008 0.000190119 0.000101584 9.13364e-05 2.98026e-05 2.56291e-05 3.77534e-05
512 0.00144116 0.000725482 0.000392355 0.000195344 6.30763e-05 5.66225e-05 8.26478e-05
1024 0.00574247 0.00282161 0.00154814 0.000409273 0.000141822 0.000127544 0.000183506
2048 0.0252687 0.0109146 0.0061109 0.000860438 0.000308943 0.000285489 0.000394225
4096 0.097563 0.0420403 0.0241021 0.00178139 0.000671563 0.000625824 0.000850976
8192 0.399202 0.182265 0.111855 0.00428126 0.00171573 0.0016089 0.00215801
